z/h (z-axis),Avg_u/Umax (x-axis)
0.04,-0.208027579
0.05,-0.160155381
0.066666667,-0.143191041
0.083333333,-0.122095137
0.1,-0.110145782
0.116666667,-0.041363648
0.133333333,-0.012642088
0.15,0.018587546
0.166666667,0.053671611
0.2,0.189260803
0.233333333,0.2781514
0.266666667,0.403634935
0.3,0.477181404
0.333333333,0.61576542
0.366666667,0.738928092
0.433333333,0.844351128
0.5,0.902812367
0.566666667,0.947559097
0.633333333,0.971302131
0.7,0.987959612
0.766666667,1
0.816666667,0.999487142
0.01,-0.060219772
0.016666667,-0.071522654
0.023333333,-0.055651782
0.03,-0.06022928
0.04,-0.070291048
0.05,-0.009022061
0.066666667,-0.003615834
0.083333333,0.00962687
0.1,0.016500417
0.116666667,0.02913224
0.133333333,0.093972499
0.15,0.09646214
0.166666667,0.158555793
0.2,0.223136191
0.233333333,0.321199083
0.266666667,0.376116551
0.3,0.451345826
0.333333333,0.531157913
0.366666667,0.601623153
0.433333333,0.773562088
0.5,0.851014634
0.566666667,0.919707037
0.633333333,0.95231322
0.7,0.971645428
0.766666667,0.990981164
0.816666667,1
0.01,0.054260134
0.016666667,0.062444386
0.023333333,0.064052898
0.03,0.078393332
0.04,0.069189704
0.05,0.093983934
0.066666667,0.114254089
0.083333333,0.124128959
0.1,0.143964641
0.116666667,0.182406247
0.133333333,0.191893056
0.15,0.176503655
0.166666667,0.222723619
0.2,0.306888317
0.233333333,0.364028974
0.266666667,0.379657098
0.3,0.482730899
0.333333333,0.590312294
0.366666667,0.640772229
0.433333333,0.746441733
0.5,0.849764453
0.566666667,0.898752854
0.633333333,0.938853126
0.7,0.973465278
0.766666667,0.992429673
0.816666667,1
0.01,0.171677769
0.016666667,0.19824187
0.023333333,0.187082783
0.03,0.200259054
0.04,0.238088726
0.05,0.218626436
0.066666667,0.247486607
0.083333333,0.230023103
0.1,0.275759265
0.116666667,0.290041654
0.133333333,0.313216212
0.15,0.305522091
0.166666667,0.325041901
0.2,0.38755491
0.233333333,0.435241779
0.266666667,0.481285267
0.3,0.513788062
0.333333333,0.570596976
0.366666667,0.633168894
0.433333333,0.719134509
0.5,0.801609879
0.566666667,0.864565021
0.633333333,0.907036862
0.7,0.957525256
0.766666667,0.985939328
0.816666667,1
0.01,0.280988284
0.016666667,0.307571059
0.023333333,0.272214959
0.03,0.323069115
0.04,0.295968465
0.05,0.322959602
0.066666667,0.353377931
0.083333333,0.380314378
0.1,0.39150211
0.116666667,0.40209262
0.133333333,0.359744363
0.15,0.413365505
0.166666667,0.435583149
0.2,0.44428429
0.233333333,0.488980896
0.266666667,0.489325917
0.3,0.518054317
0.333333333,0.583979347
0.366666667,0.621266868
0.433333333,0.729159562
0.5,0.802846214
0.566666667,0.885146956
0.633333333,0.906198488
0.7,0.955329372
0.766666667,0.982511239
0.816666667,1
0.01,-0.098610256
0.016666667,-0.102078874
0.023333333,-0.120422086
0.03,-0.132096146
0.04,-0.122253802
0.05,-0.121134175
0.066666667,-0.102107586
0.083333333,-0.118119934
0.1,-0.112348626
0.116666667,-0.079332791
0.133333333,-0.038018654
0.15,0.008290763
0.166666667,0.030982831
0.2,0.097825544
0.233333333,0.18874646
0.266666667,0.339666231
0.3,0.483564976
0.333333333,0.675491711
0.366666667,0.79830676
0.433333333,0.88540476
0.5,0.920748644
0.566666667,0.938928152
0.633333333,0.958377279
0.7,0.980172261
0.766666667,0.992102262
0.816666667,1
0.01,-0.221418836
0.016666667,-0.193216611
0.023333333,-0.174529491
0.03,-0.213345426
0.04,-0.181729326
0.05,-0.134821414
0.066666667,-0.152575346
0.083333333,-0.103255122
0.1,-0.050779967
0.116666667,-0.010718155
0.133333333,-0.010241316
0.15,0.045597264
0.166666667,0.041691652
0.2,0.161800717
0.233333333,0.293580633
0.266666667,0.392049291
0.3,0.507145106
0.333333333,0.666471286
0.366666667,0.772345891
0.433333333,0.875034396
0.5,0.907268832
0.566666667,0.950813343
0.633333333,0.966894158
0.7,0.980626932
0.766666667,0.991947939
0.816666667,1
0.01,-0.212434685
0.016666667,-0.210242909
0.023333333,-0.153847136
0.03,-0.201103265
0.04,-0.166427015
0.05,-0.168987734
0.066666667,-0.125717255
0.083333333,-0.107480174
0.1,-0.076163223
0.116666667,-0.025098287
0.133333333,5.21E-05
0.15,0.053128415
0.166666667,0.122615773
0.2,0.166857669
0.233333333,0.301742681
0.266666667,0.376726999
0.3,0.513083883
0.333333333,0.612077864
0.366666667,0.742996928
0.433333333,0.872928838
0.5,0.916435433
0.566666667,0.933802933
0.633333333,0.960759763
0.7,0.978958329
0.766666667,0.984544197
0.816666667,1
0.01,-0.062670168
0.016666667,-0.058466745
0.023333333,-0.07354843
0.03,-0.034525892
0.04,-0.013227623
0.05,-0.010109383
0.066666667,-0.017218477
0.083333333,0.0021424
0.1,0.085684204
0.116666667,0.123043288
0.133333333,0.126423822
0.15,0.052228277
0.166666667,0.181485953
0.2,0.246973622
0.233333333,0.337490589
0.266666667,0.392230826
0.3,0.512623685
0.333333333,0.566788406
0.366666667,0.628613003
0.433333333,0.766738592
0.5,0.848143794
0.566666667,0.894052424
0.633333333,0.925183711
0.7,0.961713178
0.766666667,0.982219299
0.816666667,1
0.01,0.043750199
0.016666667,0.067104465
0.023333333,0.044787292
0.03,0.092297775
0.04,0.088897073
0.05,0.105866124
0.066666667,0.132151065
0.083333333,0.156497574
0.1,0.169443289
0.116666667,0.204789553
0.133333333,0.240521574
0.15,0.277109102
0.166666667,0.297831704
0.2,0.328449502
0.233333333,0.423797164
0.266666667,0.444334839
0.3,0.545785202
0.333333333,0.610024727
0.366666667,0.671592487
0.433333333,0.785768314
0.5,0.861942716
0.566666667,0.91629361
0.633333333,0.96863358
0.7,0.985070185
0.766666667,0.989504283
0.816666667,1
0.01,0.195038313
0.016666667,0.20762704
0.023333333,0.190090926
0.03,0.212262166
0.04,0.228008571
0.05,0.234096674
0.066666667,0.243731816
0.083333333,0.258974221
0.1,0.280671608
0.116666667,0.292360686
0.133333333,0.316983331
0.15,0.333549312
0.166666667,0.347447493
0.2,0.368730513
0.233333333,0.436031787
0.266666667,0.501139514
0.3,0.550745217
0.333333333,0.610795494
0.366666667,0.661118784
0.433333333,0.752694155
0.5,0.833352678
0.566666667,0.895340911
0.633333333,0.92365311
0.7,0.959863529
0.766666667,0.985107805
0.816666667,1
0.01,0.324710403
0.016666667,0.313109772
0.023333333,0.324204831
0.03,0.308999278
0.04,0.322210875
0.05,0.308428587
0.066666667,0.324902817
0.083333333,0.344984206
0.1,0.368486978
0.116666667,0.37028528
0.133333333,0.386047994
0.15,0.401956647
0.166666667,0.417430835
0.2,0.452520529
0.233333333,0.481511872
0.266666667,0.490167331
0.3,0.591774024
0.333333333,0.617566799
0.366666667,0.664868045
0.433333333,0.736191505
0.5,0.82821592
0.566666667,0.877783304
0.633333333,0.936496092
0.7,0.978997081
0.766666667,0.995963025
