z* (z-axis),rms_w-rms_emin/rms_wmax_rms_wmin (x-axis)
0.118120523,0.484975643
0.15749403,0.634782304
0.196867538,0.619279599
0.236241045,0.650411567
0.275614553,0.731124043
0.31498806,0.756707019
0.354361568,0.821403068
0.393735075,0.835321627
0.47248209,0.899045454
0.551229105,0.960519923
0.62997612,0.975115696
0.708723135,1
0.78747015,0.900654889
0.866217165,0.725195517
1.023711195,0.460087145
1.181205225,0.296678425
1.338699256,0.186665431
1.496193286,0.093656885
1.653687316,0.056632836
1.811181346,0.013520032
1.929301868,0
0.022380853,0.466342239
0.037301421,0.491641819
0.05222199,0.480510295
0.067142558,0.511798266
0.089523411,0.553973467
0.111904264,0.645431981
0.149205685,0.747445982
0.186507107,0.789867293
0.223808528,0.780972283
0.261109949,0.827090668
0.298411371,0.936343052
0.335712792,0.935687745
0.373014213,0.980856729
0.447617056,0.941312455
0.522219898,0.971362307
0.596822741,1
0.671425584,0.940963294
0.746028426,0.876056827
0.820631269,0.713575323
0.969836954,0.538663716
1.119042639,0.347408287
1.268248325,0.196263712
1.41745401,0.134524836
1.566659695,0.073375032
1.715865381,0.026301501
1.827769645,0
0.021712147,0.417555643
0.036186911,0.417312988
0.050661676,0.484279438
0.065136441,0.497227597
0.086848587,0.570793483
0.108560734,0.657779188
0.144747646,0.762191014
0.180934557,0.800728841
0.217121469,0.799251062
0.25330838,0.890295438
0.289495292,0.923265764
0.325682203,0.954548679
0.361869114,0.983774718
0.434242937,0.951428379
0.50661676,1
0.578990583,0.976328114
0.651364406,0.912402136
0.723738229,0.871434981
0.796112052,0.84588008
0.940859697,0.544674444
1.085607343,0.435332416
1.230354989,0.245053897
1.375102635,0.158437482
1.519850281,0.091091565
1.664597926,0.026741466
1.773158661,0
0.02149477,0.498770163
0.035824616,0.539893366
0.050154462,0.573772085
0.064484309,0.630834074
0.085979078,0.7184423
0.107473848,0.739746806
0.143298464,0.752085504
0.17912308,0.857054298
0.214947695,0.90799643
0.250772311,0.928945359
0.286596927,0.916650255
0.322421543,0.887652592
0.358246159,0.916362842
0.429895391,0.981900682
0.501544623,0.975771733
0.573193854,1
0.644843086,0.931166426
0.716492318,0.78418086
0.78814155,0.748173429
0.931440014,0.599424124
1.074738477,0.391615971
1.218036941,0.254611501
1.361335404,0.179608484
1.504633868,0.102075238
1.647932332,0.042538919
1.755406179,0
0.01889442,0.418214716
0.031490701,0.493558419
