z* (z-axis),rms_u-rms_umin/rms_umax_rms_umin (x-axis)
0.1275671,0.760131036
0.1594589,0.789826181
0.1913507,0.883584297
0.2232425,0.822361594
0.2551343,0.875362435
0.2870261,0.827159436
0.3189178,0.833888292
0.3827014,0.946448003
0.446485,0.856662404
0.5102685,1
0.5740521,0.931083096
0.6378357,0.907885773
0.7016192,0.967501973
0.8291864,0.74588292
0.9567535,0.563543931
1.0843206,0.376104068
1.2118878,0.197617561
1.3394549,0.126207836
1.467022,0.044339207
1.5626974,0
0.0267595,0.430336239
0.0445992,0.434741712
0.0624388,0.406909557
0.0802785,0.399422656
0.107038,0.430758754
0.1337975,0.439263847
0.1783966,0.418755216
0.2229958,0.418243396
0.2675949,0.474077377
0.3121941,0.494301553
0.3567933,0.436118697
0.4013924,0.47652889
0.4459916,0.55486158
0.5351899,0.866307148
0.7135865,0.970720893
0.8027848,1
0.8919832,0.863140494
0.9811815,0.536656087
1.1595781,0.189162144
1.3379747,0.093425267
1.5163714,0.032855625
1.694768,0.064634003
1.8731646,0.040233159
2.0515613,0.005365736
2.1853587,0
0.0244531,0.584801629
0.0407551,0.594017916
0.0570572,0.599509583
0.0733592,0.59271269
0.0978123,0.661994457
0.1222654,0.638641932
0.1630205,0.644228401
0.2037756,0.751619262
0.2445307,0.778563669
0.2852859,0.820428067
0.326041,0.818591691
0.3667961,0.864916718
0.4075512,0.867149109
0.4890615,0.937825859
0.5705717,0.964480123
0.652082,1
0.7335922,0.968522865
0.8151025,0.818713319
0.8966127,0.690435689
1.0596332,0.390157784
1.2226537,0.246712617
1.3856742,0.110545378
1.5486947,0.062668555
1.7117152,0.037639789
1.8747357,0.004466211
1.997001,0
0.0259875,0.597321022
0.0433125,0.584831225
0.0606375,0.604388222
0.0779625,0.607194865
0.10395,0.647140964
0.1299375,0.639389906
0.17325,0.685551022
0.2165625,0.764930986
0.2598749,0.734233456
0.3031874,0.814744994
0.3464999,0.863995084
0.3898124,8.45E-01
0.4331249,0.884777912
0.5197499,0.955628422
0.6063749,1
0.6929998,0.912127459
0.7796248,0.870005889
0.8662498,0.779107533
0.9528748,0.575024781
1.1261247,0.299205556
1.2993747,0.16146648
1.4726247,0.105183136
1.6458746,0.083522017
1.8191246,0.041624918
1.9923745,0.026741698
2.122312,0
0.0234676,0.458190537
0.0391126,0.530583676
0.0547577,0.41804422
0.0704027,0.584808204
0.0938703,0.606115946
0.1173379,0.593013513
0.1564505,0.567780164
0.1955631,0.623089548
0.2346757,0.796184768
0.2737883,0.797987209
0.312901,0.798585227
0.3520136,0.879537161
0.3911262,0.925598721
0.4693514,0.985257556
0.5475767,1
0.6258019,0.962534638
