z/D (z-axis),rss_uw/U_R2(x-axis)
0.75,0.032949817
0.875,0.040305119
1,0.042810677
1.125,0.040349763
1.25,0.027224551
1.375,0.017984755
1.625,0.005385467
1.875,0.002339063
2.125,0.001505735
2.375,0.00090957
2.625,0.00069121
2.875,0.000401263
3.0625,0.000340658
0.0375,0.028152139
0.0625,0.028396494
0.0875,0.033913143
0.1125,0.028698517
0.15,0.034154385
0.1875,0.029407385
0.25,0.033489826
0.3125,0.031657612
0.375,0.041848954
0.4375,0.038060622
0.5,0.04598572
0.5625,0.042356403
0.625,0.037953329
0.75,0.037377675
0.875,0.057954012
1,0.044622702
1.125,0.041198233
1.25,0.03527492
1.375,0.019500723
1.625,0.005844402
1.875,0.002723178
2.125,0.001380907
2.375,0.000958867
2.625,0.000448645
2.875,0.000323499
3.0625,0.000376221
0.0375,0.011709473
0.0625,0.019121671
0.0875,0.014885325
0.1125,0.023232291
0.15,0.022305212
0.1875,0.019749388
0.25,0.029904318
0.3125,0.029317849
0.375,0.049110127
0.4375,0.054173851
0.5,0.050129991
0.5625,0.065182841
0.625,0.056708362
0.75,0.062104339
0.875,0.05691509
1,0.050563814
1.125,0.041973286
1.25,0.035029348
1.375,0.026427202
1.625,0.008932156
1.875,0.004907199
2.125,0.002542078
2.375,0.002008558
2.625,0.001080578
2.875,0.000307545
3.0625,6.06E-05
0.0375,0.021028342
0.0625,0.022345709
0.0875,0.024337056
0.1125,0.026682294
0.15,0.018686913
0.1875,0.041142646
0.25,0.037820232
0.3125,0.043977451
0.375,0.039149486
0.4375,0.048210642
0.5,0.059463417
0.5625,0.060750022
0.625,0.057114635
0.75,0.049416596
0.875,0.04347442
1,0.042097324
1.125,0.039422804
1.25,0.032275487
1.375,0.022651192
1.625,0.011769991
1.875,0.006147946
2.125,0.003198789
2.375,0.000943148
2.625,0.001194794
2.875,0.000658372
3.0625,0.000224758
0.0375,0.009816474
0.0625,0.013636218
0.0875,0.023555261
0.1125,0.018270271
0.15,0.024029243
0.1875,0.023145833
0.25,0.026735984
0.3125,0.025610837
0.375,0.032665547
0.4375,0.029770803
0.5,0.028793151
0.5625,0.035429048
0.625,0.040580132
0.75,0.038067157
0.875,0.03922728
1,0.037380455
1.125,0.033711889
1.25,0.024751737
1.375,0.025261542
1.625,0.014221488
1.875,0.007453561
2.125,0.004002385
2.375,0.002620233
2.625,0.001513482
2.875,0.001044306
3.0625,0.000494055
0.0375,0.015747563
0.0625,0.020668778
0.0875,0.018646644
0.1125,0.017673743
0.15,0.018695279
0.1875,0.018407254
0.25,0.024285408
0.3125,0.026457911
0.375,0.023176444
0.4375,0.032858296
0.5,0.031259052
0.5625,0.032855504
0.625,0.035277464
0.75,0.034712025
0.875,0.033581542
1,0.034040914
1.125,0.029391893
1.25,0.036910308
1.375,0.024756401
1.625,0.018406509
1.875,0.011721314
2.125,0.00677561
2.375,0.00220493
2.625,0.001106381
2.875,0.000566659
3.0625,0.000344178
