z/z2,Horizontal Distance ( Multiple of D),Run,RMS_wdefect
1.364592,10,2,0.336682
1.501051,10,2,0.230666
1.773969,10,2,0.143867
2.046887,10,2,0.148415
2.319806,10,2,0.105884
2.592724,10,2,0.046233
2.865642,10,2,0.053064
3.138561,10,2,0.054247
3.343249,10,2,0.015375
0.02154,10,3,0.422564
0.0359,10,3,0.491391
0.05026,10,3,0.56416
0.06462,10,3,0.578342
0.08616,10,3,0.632789
0.1077,10,3,0.73968
0.1436,10,3,0.723585
0.1795,10,3,0.760594
0.2154,10,3,0.891136
0.2513,10,3,0.903102
0.2872,10,3,0.962779
0.323099,10,3,0.984426
0.358999,10,3,0.964152
0.430799,10,3,0.916239
0.502599,10,3,0.927494
0.574399,10,3,0.879579
0.646199,10,3,0.930908
0.717999,10,3,1.000001
0.789799,10,3,0.833594
0.933398,10,3,0.738343
1.076998,10,3,0.640881
1.220598,10,3,0.465097
1.364198,10,3,0.329143
1.507797,10,3,0.27939
1.651397,10,3,0.154779
1.759097,10,3,0.085255
0.023479,10,4,0.468635
0.039132,10,4,0.538433
0.054785,10,4,0.529625
0.070437,10,4,0.570202
0.093917,10,4,0.606915
0.117396,10,4,0.688751
0.156528,10,4,0.714048
0.195659,10,4,0.764687
0.234791,10,4,0.780352
0.273923,10,4,0.817065
0.313055,10,4,0.841111
0.352187,10,4,0.9297
0.391319,10,4,0.999999
0.469583,10,4,0.961819
0.547847,10,4,0.970237
0.62611,10,4,0.953789
0.704374,10,4,0.893427
0.782638,10,4,0.769894
0.860902,10,4,0.87518
1.017429,10,4,0.716832
1.173957,10,4,0.553763
1.330485,10,4,0.420644
1.487012,10,4,0.310058
1.64354,10,4,0.22725
1.800067,10,4,0.147735
1.917463,10,4,0.103328
0.03606,12,1,0.628406
0.0601,12,1,0.688398
0.08414,12,1,0.7346
0.10818,12,1,0.779625
0.144239,12,1,0.816927
0.180299,12,1,0.8313
0.240399,12,1,0.87616
0.300499,12,1,0.901033
0.360599,12,1,0.936345
0.420698,12,1,0.960216
0.480798,12,1,0.986918
0.540898,12,1,0.986725
0.600998,12,1,1
0.721197,12,1,0.914578
0.841397,12,1,0.805353
0.961596,12,1,0.671534
1.081796,12,1,0.569055
1.201995,12,1,0.475751
1.322195,12,1,0.336333
1.562594,12,1,0.186475
1.802993,12,1,0.125516
2.043392,12,1,0.080386
2.283791,12,1,0.036159
2.52419,12,1,-0.00351
2.764589,12,1,-0.02158
2.944889,12,1,-0.03501
0.035596,12,2,0.613152
0.059326,12,2,0.669277
0.083056,12,2,0.716497
0.106787,12,2,0.806087
0.142383,12,2,0.846419
0.177978,12,2,0.903746
0.237304,12,2,0.930688
0.29663,12,2,0.927546
0.355956,12,2,0.914631
0.415282,12,2,0.967928
0.474608,12,2,0.999859
0.533935,12,2,0.965148
0.593261,12,2,0.876071
0.711913,12,2,0.836565
0.830565,12,2,0.735208
0.949217,12,2,0.617504
1.067869,12,2,0.537559
1.186521,12,2,0.3839
1.305173,12,2,0.309334
1.542477,12,2,0.169176
1.779782,12,2,0.158635
2.017086,12,2,0.151249
2.25439,12,2,0.062081
2.491694,12,2,0.112878
2.728999,12,2,0.065429
2.906977,12,2,0.051329
0.02088,12,3,0.44362
0.0348,12,3,0.465017
0.04872,12,3,0.493795
0.06264,12,3,0.555757
0.08352,12,3,0.599259
0.104399,12,3,0.636168
0.139199,12,3,0.729664
0.173999,12,3,0.75315
0.208799,12,3,0.847047
0.243599,12,3,0.817415
0.278398,12,3,0.85202
0.313198,12,3,0.933184
0.347998,12,3,0.929383
0.417598,12,3,0.954513
0.487197,12,3,0.928545
0.556797,12,3,0.944599
0.626396,12,3,1
0.695996,12,3,0.959978
0.765596,12,3,0.880915
0.904795,12,3,0.705632
1.043994,12,3,0.716097
1.183193,12,3,0.526795
1.322392,12,3,0.374528
1.461591,12,3,0.281019
1.600791,12,3,0.184092
1.70519,12,3,0.080624
0.020675,12,4,0.425754
0.034458,12,4,0.474933
0.048242,12,4,0.491431
0.062025,12,4,0.563263
0.0827,12,4,0.569289
0.103375,12,4,0.586413
0.137833,12,4,0.651527
0.172291,12,4,0.764242
0.20675,12,4,0.824255
0.241208,12,4,0.835529
0.275666,12,4,0.969179
0.310125,12,4,0.948216
0.344583,12,4,0.955363
0.413499,12,4,0.929761
0.482416,12,4,0.999999
0.551333,12,4,0.997816
0.620249,12,4,0.989439
0.689166,12,4,0.966537
0.758082,12,4,0.894962
0.895915,12,4,0.844932
1.033748,12,4,0.658614
1.171582,12,4,0.532883
1.309415,12,4,0.380852
1.447248,12,4,0.255788
1.585081,12,4,0.153082
1.688456,12,4,0.130062
